blah,ID,Date,Landcover,Area
,1,11/13/2017,Bare Soil,8.58
,1,11/13/2017,High Marsh,36.23
,1,11/13/2017,Mid Marsh,30.36
,1,11/13/2017,Senesced,9.85
,1,11/13/2017,Subtidal,10.41
,2,1/12/2018,Bare Soil,27.83
,2,1/12/2018,High Marsh,36.81
,2,1/12/2018,Mid Marsh,12.13
,2,1/12/2018,Senesced,8.75
,2,1/12/2018,Subtidal,9.93
,3,11/3/2018,Bare Soil,11.77
,3,11/3/2018,High Marsh,27.47
,3,11/3/2018,Mid Marsh,34.09
,3,11/3/2018,Senesced,12.57
,3,11/3/2018,Subtidal,9.55
,4,11/12/2020,Bare Soil,11.24
,4,11/12/2020,High Marsh,29.74
,4,11/12/2020,Mid Marsh,36.93
,4,11/12/2020,Senesced,11.04
,4,11/12/2020,Subtidal,6.48
