Wavelength,Subtidal_1,Subtidal_2,Subtidal_3,Subtidal_4,Subtidal_5,Subtidal_6,Subtidal_7,Subtidal_8
490,193,130,408,266,186,198,259,269
560,343,324,628,457,366,366,419,388
665,305,343,562,403.999969,313,347,435,377
705,663,717,904,693.000061,460,571,653,605
740,683,824,749,988.000061,507,624,751,725
786,661,869.000061,801,1071,556,629,897,773
842,412,602,332,694,309,381,619,534
865,628,979.000061,779,1189,674,781.000061,871,904
1610,924,1333.000122,857,651,543,780,795,671.000061
2190,849,1013,710,452,377,568,584,553
