Band,Resolution,Central Wavelength (nm),Bandwidth (nm),Description
B1,60 m,443,21,Ultra blue (Coastal and Aerosol)
B2,10 m,490,66,Blue
B3,10 m,560,36,Green
B4,10 m,665,31,Red
B5,20 m,705,15,Visible and Near Infrared (VNIR)
B6,20 m,740,15,Visible and Near Infrared (VNIR)
B7,20 m,783,20,Visible and Near Infrared (VNIR)
B8,10 m,842,106,Visible and Near Infrared (VNIR)
B8a,20 m,865,21,Visible and Near Infrared (VNIR)
B9,60 m,940,20,Short Wave Infrared (SWIR)
B10,60 m,1375,31,Short Wave Infrared (SWIR)
B11,20 m,1610,91,Short Wave Infrared (SWIR)
B12,20 m,2190,175,Short Wave Infrared (SWIR)
